"Ano-Mes"-01;"Clasificador";"Agregacion";"Variacion %"
"2022-07"-01;"Items";"Instalacion de gas";"14.0"
"2022-07"-01;"Items";"Instalacion electrica";"7.7"
"2022-07"-01;"Items";"Carpinteria metalica y herreria";"15.9"
"2022-07"-01;"Items";"Carpinteria de madera";"14.2"
"2022-07"-01;"Items";"Ascensores";"9.9"
"2022-07"-01;"Items";"Vidrios";"16.7"
"2022-07"-01;"Items";"Pintura";"15.5"
"2022-07"-01;"Items";"Otros trabajos y gastos";"4.2"
"2022-08"-01;"Items";"Movimiento de tierras";"6.4"
"2022-08"-01;"Items";"Estructura";"7.1"
"2022-08"-01;"Items";"Albanileria";"6.8"
"2022-08"-01;"Items";"Yeseria";"7.2"
"2022-08"-01;"Items";"Instalacion sanitaria y contraincendio";"9.7"
"2022-08"-01;"Items";"Instalacion de gas";"9.2"
"2022-08"-01;"Items";"Instalacion electrica";"8.8"
"2022-08"-01;"Items";"Carpinteria metalica y herreria";"14.8"
"2022-08"-01;"Items";"Carpinteria de madera";"8.3"
"2022-08"-01;"Items";"Ascensores";"10.7"
"2022-08"-01;"Items";"Vidrios";"9.0"
"2022-08"-01;"Items";"Pintura";"5.5"
"2022-08"-01;"Items";"Otros trabajos y gastos";"5.4"
"2022-09"-01;"Items";"Movimiento de tierras";"5.4"
"2022-09"-01;"Items";"Estructura";"7.8"
"2022-09"-01;"Items";"Albanileria";"8.9"
"2022-09"-01;"Items";"Yeseria";"9.0"
"2022-09"-01;"Items";"Instalacion sanitaria y contraincendio";"7.8"
"2022-09"-01;"Items";"Instalacion de gas";"5.6"
"2022-09"-01;"Items";"Instalacion electrica";"5.9"
"2022-09"-01;"Items";"Carpinteria metalica y herreria";"1.3"
"2022-09"-01;"Items";"Carpinteria de madera";"5.2"
"2022-09"-01;"Items";"Ascensores";"3.6"
"2022-09"-01;"Items";"Vidrios";"6.8"
"2022-09"-01;"Items";"Pintura";"3.6"
"2022-09"-01;"Items";"Otros trabajos y gastos";"8.5"
"2022-10"-01;"Items";"Movimiento de tierras";"8.5"
"2022-10"-01;"Items";"Estructura";"7.6"
"2022-10"-01;"Items";"Albanileria";"7.8"
"2022-10"-01;"Items";"Yeseria";"7.9"
"2022-10"-01;"Items";"Instalacion sanitaria y contraincendio";"6.1"
"2022-10"-01;"Items";"Instalacion de gas";"3.3"
"2022-10"-01;"Items";"Instalacion electrica";"8.1"
"2022-10"-01;"Items";"Carpinteria metalica y herreria";"6.8"
"2022-10"-01;"Items";"Carpinteria de madera";"6.9"
"2022-10"-01;"Items";"Ascensores";"7.4"
"2022-10"-01;"Items";"Vidrios";"7.2"
"2022-10"-01;"Items";"Pintura";"6.1"
"2022-10"-01;"Items";"Otros trabajos y gastos";"7.0"
"2022-11"-01;"Items";"Movimiento de tierras";"8.5"
"2022-11"-01;"Items";"Estructura";"6.7"
"2022-11"-01;"Items";"Albanileria";"6.9"
"2022-11"-01;"Items";"Yeseria";"6.2"
"2022-11"-01;"Items";"Instalacion sanitaria y contraincendio";"7.0"
"2022-11"-01;"Items";"Instalacion de gas";"5.6"
"2022-11"-01;"Items";"Instalacion electrica";"9.3"
"2022-11"-01;"Items";"Carpinteria metalica y herreria";"4.1"
"2022-11"-01;"Items";"Carpinteria de madera";"5.1"
"2022-11"-01;"Items";"Ascensores";"6.7"
"2022-11"-01;"Items";"Vidrios";"9.9"
"2022-11"-01;"Items";"Pintura";"6.4"
"2022-11"-01;"Items";"Otros trabajos y gastos";"6.5"
"2022-12"-01;"Items";"Movimiento de tierras";"2.7"
"2022-12"-01;"Items";"Estructura";"3.8"
"2022-12"-01;"Items";"Albanileria";"3.8"
"2022-12"-01;"Items";"Yeseria";"4.8"
"2022-12"-01;"Items";"Instalacion sanitaria y contraincendio";"4.5"
"2022-12"-01;"Items";"Instalacion de gas";"7.1"
"2022-12"-01;"Items";"Instalacion electrica";"6.3"
"2022-12"-01;"Items";"Carpinteria metalica y herreria";"2.8"
"2022-12"-01;"Items";"Carpinteria de madera";"5.3"
"2022-12"-01;"Items";"Ascensores";"8.4"
"2022-12"-01;"Items";"Vidrios";"7.9"
"2022-12"-01;"Items";"Pintura";"3.2"
"2022-12"-01;"Items";"Otros trabajos y gastos";"6.4"
"2023-01"-01;"Items";"Movimiento de tierras";"11.5"
"2023-01"-01;"Items";"Estructura";"6.7"
"2023-01"-01;"Items";"Albanileria";"6.9"
"2023-01"-01;"Items";"Yeseria";"6.9"
"2023-01"-01;"Items";"Instalacion sanitaria y contraincendio";"7.4"
"2023-01"-01;"Items";"Instalacion de gas";"5.1"
"2023-01"-01;"Items";"Instalacion electrica";"7.1"
"2023-01"-01;"Items";"Carpinteria metalica y herreria";"10.5"
"2023-01"-01;"Items";"Carpinteria de madera";"4.4"
"2023-01"-01;"Items";"Ascensores";"4.7"
"2023-01"-01;"Items";"Vidrios";"4.5"
"2023-01"-01;"Items";"Pintura";"4.9"
"2023-01"-01;"Items";"Otros trabajos y gastos";"6.4"
"2023-02"-01;"Items";"Movimiento de tierras";"4.4"
"2023-02"-01;"Items";"Estructura";"7.2"
"2023-02"-01;"Items";"Albanileria";"6.1"
"2023-02"-01;"Items";"Yeseria";"6.4"
"2023-02"-01;"Items";"Instalacion sanitaria y contraincendio";"5.0"
"2023-02"-01;"Items";"Instalacion de gas";"6.5"
"2023-02"-01;"Items";"Instalacion electrica";"6.3"
"2023-02"-01;"Items";"Carpinteria metalica y herreria";"3.4"
"2023-02"-01;"Items";"Carpinteria de madera";"5.5"
"2023-02"-01;"Items";"Ascensores";"4.3"
"2023-02"-01;"Items";"Vidrios";"8.7"
"2023-02"-01;"Items";"Pintura";"5.8"
"2023-02"-01;"Items";"Otros trabajos y gastos";"5.7"
"2023-03"-01;"Items";"Movimiento de tierras";"5.3"
"2023-03"-01;"Items";"Estructura";"3.5"
"2023-03"-01;"Items";"Albanileria";"3.3"
"2023-03"-01;"Items";"Yeseria";"3.1"
"2023-03"-01;"Items";"Instalacion sanitaria y contraincendio";"8.3"
"2023-03"-01;"Items";"Instalacion de gas";"6.1"
"2023-03"-01;"Items";"Instalacion electrica";"4.5"
"2023-03"-01;"Items";"Carpinteria metalica y herreria";"3.3"
"2023-03"-01;"Items";"Carpinteria de madera";"5.6"
"2023-03"-01;"Items";"Ascensores";"5.0"
"2023-03"-01;"Items";"Vidrios";"7.3"
"2023-03"-01;"Items";"Pintura";"11.0"
"2023-03"-01;"Items";"Otros trabajos y gastos";"3.5"
"2023-04"-01;"Items";"Movimiento de tierras";"6.8"
"2023-04"-01;"Items";"Estructura";"7.7"
"2023-04"-01;"Items";"Albanileria";"8.2"
"2023-04"-01;"Items";"Yeseria";"8.9"
"2023-04"-01;"Items";"Instalacion sanitaria y contraincendio";"7.0"
"2023-04"-01;"Items";"Instalacion de gas";"6.8"
"2023-04"-01;"Items";"Instalacion electrica";"7.0"
"2023-04"-01;"Items";"Carpinteria metalica y herreria";"11.9"
"2023-04"-01;"Items";"Carpinteria de madera";"8.0"
"2023-04"-01;"Items";"Ascensores";"8.4"
"2023-04"-01;"Items";"Vidrios";"9.1"
"2023-04"-01;"Items";"Pintura";"5.4"
"2023-04"-01;"Items";"Otros trabajos y gastos";"14.5"
"2023-05"-01;"Items";"Movimiento de tierras";"8.3"
"2023-05"-01;"Items";"Estructura";"7.2"
"2023-05"-01;"Items";"Albanileria";"7.5"
"2023-05"-01;"Items";"Yeseria";"6.7"
