periodo;nivel_general_aperturas;indice_icc
01/02/2024;13_07r0$_7r@8@j0$_y_g@$70$;821,899,773,768,559
01/03/2024;1_50v1513970_d3_713rr@$;719,750,281,779,797
01/03/2024;2_3$7ruc7ur@;742,575,346,988,184
01/03/2024;3_@|8@91|3r1@;703,960,164,691,285
01/03/2024;4_y3$3r1@;8,333,225,101,836
01/03/2024;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;106,308,002,745,594
01/03/2024;6_19$7@|@c109_d3_g@$;978,415,052,393,282
01/03/2024;7_19$7@|@c109_3|3c7r1c@;807,412,999,169,623
01/03/2024;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;856,387,838,804,314
01/03/2024;9_c@rp1973r1@_d3_5@d3r@;100,447,516,349,876
01/03/2024;10_@$c39$0r3$;113,150,045,652,836
01/03/2024;11_v1dr10$;105,199,547,899,291
01/03/2024;12_p197ur@;836,572,648,579,562
01/03/2024;13_07r0$_7r@8@j0$_y_g@$70$;866,469,268,645,083
01/04/2024;1_50v1513970_d3_713rr@$;804,861,212,499,926
01/04/2024;2_3$7ruc7ur@;770,722,313,162,854
01/04/2024;3_@|8@91|3r1@;744,165,303,639,484
01/04/2024;4_y3$3r1@;938,089,615,679,792
01/04/2024;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;109,631,164,148,494
01/04/2024;6_19$7@|@c109_d3_g@$;10,044,219,116,431
01/04/2024;7_19$7@|@c109_3|3c7r1c@;824,589,529,704,838
01/04/2024;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;854,268,532,979,142
01/04/2024;9_c@rp1973r1@_d3_5@d3r@;104,239,484,678,143
01/04/2024;10_@$c39$0r3$;119,522,674,241,656
01/04/2024;11_v1dr10$;107,054,427,469,016
01/04/2024;12_p197ur@;878,511,880,555,394
01/04/2024;13_07r0$_7r@8@j0$_y_g@$70$;940,119,959,696,584
01/05/2024;1_50v1513970_d3_713rr@$;851,808,938,697,563
01/05/2024;2_3$7ruc7ur@;884,764,158,080,801
01/05/2024;3_@|8@91|3r1@;882,906,430,533,958
01/05/2024;4_y3$3r1@;99,283,901,056,733
01/05/2024;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;109,771,090,215,926
01/05/2024;6_19$7@|@c109_d3_g@$;100,518,781,602,028
01/05/2024;7_19$7@|@c109_3|3c7r1c@;878,213,935,230,618
01/05/2024;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;866,369,886,007,035
01/05/2024;9_c@rp1973r1@_d3_5@d3r@;106,675,561,582,712
01/05/2024;10_@$c39$0r3$;126,035,558,486,355
01/05/2024;11_v1dr10$;10,823,476,108,816
